Mass [GeV],error_label,error_minus,error_plus,error_symerror,observable,qualifiers,source_yaml,value
160,,,,,Cross section upper limit at 95% CL [fb],Limit=Observed; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,12.1721
180,,,,,Cross section upper limit at 95% CL [fb],Limit=Observed; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,4.6731
200,,,,,Cross section upper limit at 95% CL [fb],Limit=Observed; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,4.40866
220,,,,,Cross section upper limit at 95% CL [fb],Limit=Observed; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,4.54377
240,,,,,Cross section upper limit at 95% CL [fb],Limit=Observed; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,3.18749
260,,,,,Cross section upper limit at 95% CL [fb],Limit=Observed; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,1.85502
280,,,,,Cross section upper limit at 95% CL [fb],Limit=Observed; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,1.50264
300,,,,,Cross section upper limit at 95% CL [fb],Limit=Observed; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,2.57853
320,,,,,Cross section upper limit at 95% CL [fb],Limit=Observed; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,1.03296
340,,,,,Cross section upper limit at 95% CL [fb],Limit=Observed; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,1.74768
360,,,,,Cross section upper limit at 95% CL [fb],Limit=Observed; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,1.2211
380,,,,,Cross section upper limit at 95% CL [fb],Limit=Observed; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.881211
400,,,,,Cross section upper limit at 95% CL [fb],Limit=Observed; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,1.0785
420,,,,,Cross section upper limit at 95% CL [fb],Limit=Observed; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.666028
440,,,,,Cross section upper limit at 95% CL [fb],Limit=Observed; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.634935
460,,,,,Cross section upper limit at 95% CL [fb],Limit=Observed; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.919469
480,,,,,Cross section upper limit at 95% CL [fb],Limit=Observed; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.823179
500,,,,,Cross section upper limit at 95% CL [fb],Limit=Observed; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.94583
520,,,,,Cross section upper limit at 95% CL [fb],Limit=Observed; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,1.05695
540,,,,,Cross section upper limit at 95% CL [fb],Limit=Observed; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.448508
560,,,,,Cross section upper limit at 95% CL [fb],Limit=Observed; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.572984
580,,,,,Cross section upper limit at 95% CL [fb],Limit=Observed; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.495037
600,,,,,Cross section upper limit at 95% CL [fb],Limit=Observed; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.576455
620,,,,,Cross section upper limit at 95% CL [fb],Limit=Observed; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.469031
640,,,,,Cross section upper limit at 95% CL [fb],Limit=Observed; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.328065
660,,,,,Cross section upper limit at 95% CL [fb],Limit=Observed; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.371595
680,,,,,Cross section upper limit at 95% CL [fb],Limit=Observed; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.875968
700,,,,,Cross section upper limit at 95% CL [fb],Limit=Observed; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.312103
720,,,,,Cross section upper limit at 95% CL [fb],Limit=Observed; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.250739
740,,,,,Cross section upper limit at 95% CL [fb],Limit=Observed; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.227279
760,,,,,Cross section upper limit at 95% CL [fb],Limit=Observed; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.267259
780,,,,,Cross section upper limit at 95% CL [fb],Limit=Observed; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.345488
800,,,,,Cross section upper limit at 95% CL [fb],Limit=Observed; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.238371
820,,,,,Cross section upper limit at 95% CL [fb],Limit=Observed; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.245499
840,,,,,Cross section upper limit at 95% CL [fb],Limit=Observed; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.225604
860,,,,,Cross section upper limit at 95% CL [fb],Limit=Observed; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.221218
880,,,,,Cross section upper limit at 95% CL [fb],Limit=Observed; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.256358
900,,,,,Cross section upper limit at 95% CL [fb],Limit=Observed; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.186336
920,,,,,Cross section upper limit at 95% CL [fb],Limit=Observed; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.31963
940,,,,,Cross section upper limit at 95% CL [fb],Limit=Observed; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.229732
960,,,,,Cross section upper limit at 95% CL [fb],Limit=Observed; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.21748
980,,,,,Cross section upper limit at 95% CL [fb],Limit=Observed; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.177634
1000,,,,,Cross section upper limit at 95% CL [fb],Limit=Observed; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.160178
1020,,,,,Cross section upper limit at 95% CL [fb],Limit=Observed; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.103709
1040,,,,,Cross section upper limit at 95% CL [fb],Limit=Observed; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.169481
1060,,,,,Cross section upper limit at 95% CL [fb],Limit=Observed; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.160329
1080,,,,,Cross section upper limit at 95% CL [fb],Limit=Observed; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.165718
1100,,,,,Cross section upper limit at 95% CL [fb],Limit=Observed; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.184992
