point_id,mH2_GeV,tan_beta,lambda6,M2_GeV2,g_hH2H2_GeV,ctau_mm,BR_bb,sigma_production_fb,sigma_production_unc_fb,madgraph_status,madgraph_run_id_or_path,Trackless_Aeff,sigma_4b_fb,sigma_visible_fb,N_expected,N_over_S95,atlas_trackless_status
point_bcaa8d2659b645d2,150.0,10.0,1e-10,22500.0,63.591425,4.806839e-09,0.756727,0.23025,0.000676,VALID,run_point_bcaa8d2659b645d2_s101;run_point_bcaa8d2659b645d2_s107,0.0,0.13184938201980226,0.0,0.0,0.0,ALLOWED_BY_ATLAS_TRACKLESS_95CL
point_f1e397d6693dc824,150.0,10.0,0.001,22500.0,63.591425,4.806839e-09,0.756727,0.23025,0.000676,VALID,run_point_f1e397d6693dc824_s101;run_point_f1e397d6693dc824_s107,0.0,0.13184938201980226,0.0,0.0,0.0,ALLOWED_BY_ATLAS_TRACKLESS_95CL
point_258aab42cfa2286c,150.0,10.0,0.01,20000.0,83.898421,4.807171e-09,0.756779,0.4009,0.000965,VALID,run_point_258aab42cfa2286c_s101;run_point_258aab42cfa2286c_s107,0.0,0.22960122494575685,0.0,0.0,0.0,ALLOWED_BY_ATLAS_TRACKLESS_95CL
point_834e434bb2b3917f,150.0,10.0,0.01,22500.0,63.591425,4.806835e-09,0.756726,0.23025,0.000676,VALID,run_point_834e434bb2b3917f_s101;run_point_834e434bb2b3917f_s107,0.0,0.131849033547249,0.0,0.0,0.0,ALLOWED_BY_ATLAS_TRACKLESS_95CL
point_30f605b48819ff38,150.0,10.0,0.05,20000.0,83.898421,4.807156e-09,0.756777,0.4009,0.000965,VALID,run_point_30f605b48819ff38_s101;run_point_30f605b48819ff38_s107,0.0,0.2296000113765561,0.0,0.0,0.0,ALLOWED_BY_ATLAS_TRACKLESS_95CL
point_22788c4465c27235,150.0,10.0,0.1,20000.0,83.898421,4.807136e-09,0.756774,0.4009,0.000965,VALID,run_point_22788c4465c27235_s101;run_point_22788c4465c27235_s107,0.0,0.22959819102876836,0.0,0.0,0.0,ALLOWED_BY_ATLAS_TRACKLESS_95CL
point_fd319a48862702b4,150.0,10.0,0.2,20000.0,83.898421,4.807096e-09,0.756767,0.4009,0.000965,VALID,run_point_fd319a48862702b4_s101;run_point_fd319a48862702b4_s107,0.0,0.2295939435786601,0.0,0.0,0.0,ALLOWED_BY_ATLAS_TRACKLESS_95CL
point_711ee5c8663de766,150.0,50.0,1e-10,22500.0,63.591425,1.20171e-07,0.756727,0.23025,0.000676,VALID,run_point_711ee5c8663de766_s101;run_point_711ee5c8663de766_s107,0.0,0.13184938201980226,0.0,0.0,0.0,ALLOWED_BY_ATLAS_TRACKLESS_95CL
point_c2e660074d20ef60,150.0,50.0,0.001,22500.0,63.591425,1.201709e-07,0.756727,0.23025,0.000676,VALID,run_point_c2e660074d20ef60_s101;run_point_c2e660074d20ef60_s107,0.0,0.13184938201980226,0.0,0.0,0.0,ALLOWED_BY_ATLAS_TRACKLESS_95CL
point_09ba48561ccadd63,150.0,100.0,1e-10,22500.0,63.591425,4.806839e-07,0.756727,0.23025,0.000676,VALID,run_point_09ba48561ccadd63_s101;run_point_09ba48561ccadd63_s107,0.0,0.13184938201980226,0.0,0.0,0.0,ALLOWED_BY_ATLAS_TRACKLESS_95CL
point_1101145ed91762d9,150.0,100.0,0.001,22500.0,63.591425,4.806835e-07,0.756726,0.23025,0.000676,VALID,run_point_1101145ed91762d9_s101;run_point_1101145ed91762d9_s107,0.0,0.131849033547249,0.0,0.0,0.0,ALLOWED_BY_ATLAS_TRACKLESS_95CL
point_38d3067f8e929597,150.0,500.0,1e-10,22500.0,63.591425,1.20171e-05,0.756727,0.23025,0.000676,VALID,run_point_38d3067f8e929597_s101;run_point_38d3067f8e929597_s107,0.0,0.13184938201980226,0.0,0.0,0.0,ALLOWED_BY_ATLAS_TRACKLESS_95CL
point_8b6827bd9f4f8520,150.0,1000.0,1e-10,22500.0,63.591425,4.806839e-05,0.756727,0.23025,0.000676,VALID,run_point_8b6827bd9f4f8520_s101;run_point_8b6827bd9f4f8520_s107,0.0,0.13184938201980226,0.0,0.0,0.0,ALLOWED_BY_ATLAS_TRACKLESS_95CL
point_6b9117ffb4b4eb26,150.0,10000.0,1e-10,22500.0,63.591425,0.004806839,0.756727,0.23025,0.000676,VALID,run_point_6b9117ffb4b4eb26_s101;run_point_6b9117ffb4b4eb26_s107,0.0,0.13184938201980226,0.0,0.0,0.0,ALLOWED_BY_ATLAS_TRACKLESS_95CL
point_475c88fa77e24335,150.0,50000.0,1e-10,22500.0,63.591425,0.120171,0.756727,0.23025,0.000676,VALID,run_point_475c88fa77e24335_s101;run_point_475c88fa77e24335_s107,0.0,0.13184938201980226,0.0,0.0,0.0,ALLOWED_BY_ATLAS_TRACKLESS_95CL
point_4a4ec412be5f308a,150.0,150000.0,1e-10,22500.0,63.591425,1.081555,0.75673,0.23025,0.000676,VALID,run_point_4a4ec412be5f308a_s101;run_point_4a4ec412be5f308a_s107,0.004621670236546168,0.13185042744022502,0.0006093691961763781,0.08470231826851655,0.02823410608950552,ALLOWED_BY_ATLAS_TRACKLESS_95CL
point_4f706f3630f9a2fb,150.0,150000.0,0.001,22500.0,63.591425,1.081554,0.756729,0.23025,0.000676,VALID,run_point_4f706f3630f9a2fb_s101;run_point_4f706f3630f9a2fb_s107,0.004621662333878799,0.13185007896629025,0.000609366543677449,0.0847019495711654,0.02823398319038847,ALLOWED_BY_ATLAS_TRACKLESS_95CL
point_5c0e1898b9f36f6d,150.0,150000.0,0.01,22500.0,63.591425,1.081545,0.756729,0.23025,0.000676,VALID,run_point_5c0e1898b9f36f6d_s101;run_point_5c0e1898b9f36f6d_s107,0.0046215912095436875,0.13185007896629025,0.0006093571659282481,0.08470064606402648,0.028233548688008828,ALLOWED_BY_ATLAS_TRACKLESS_95CL
point_98c668f3d968b728,150.0,300000.0,1e-10,22500.0,63.591425,4.326222,0.756737,0.23025,0.000676,VALID,run_point_98c668f3d968b728_s101;run_point_98c668f3d968b728_s107,0.015733860375136043,0.13185286677066227,0.002074554595831015,0.2883630888205111,0.09612102960683704,ALLOWED_BY_ATLAS_TRACKLESS_95CL
point_c7afb83ab8127e47,150.0,300000.0,1e-10,22500.0,63.591425,4.326222,0.756737,0.23025,0.000676,VALID,run_point_c7afb83ab8127e47_s101;run_point_c7afb83ab8127e47_s107,0.015733860375136043,0.13185286677066227,0.002074554595831015,0.2883630888205111,0.09612102960683704,ALLOWED_BY_ATLAS_TRACKLESS_95CL
point_545e8b4e72cece50,150.0,300000.0,0.001,22500.0,63.591425,4.326217,0.756737,0.23025,0.000676,VALID,run_point_545e8b4e72cece50_s101;run_point_545e8b4e72cece50_s107,0.015733853157816675,0.13185286677066227,0.002074553644206766,0.2883629565447405,0.09612098551491349,ALLOWED_BY_ATLAS_TRACKLESS_95CL
point_fec9d62d2d66579b,150.0,300000.0,0.01,22500.0,63.591425,4.326182,0.756737,0.23025,0.000676,VALID,run_point_fec9d62d2d66579b_s101;run_point_fec9d62d2d66579b_s107,0.01573380028990934,0.13185286677066227,0.0020745466734216236,0.28836198760560566,0.09612066253520189,ALLOWED_BY_ATLAS_TRACKLESS_95CL
point_ee2335ea0dbe2679,150.0,300000.0,0.05,22500.0,63.591425,4.326027,0.756734,0.23025,0.000676,VALID,run_point_ee2335ea0dbe2679_s101;run_point_ee2335ea0dbe2679_s107,0.015733566155463986,0.131851821340569,0.0020744993537802603,0.2883554101754562,0.0961184700584854,ALLOWED_BY_ATLAS_TRACKLESS_95CL
point_eefd4924cbbe06a3,150.0,300000.0,0.1,22500.0,63.591425,4.325785,0.75673,0.23025,0.000676,VALID,run_point_eefd4924cbbe06a3_s101;run_point_eefd4924cbbe06a3_s107,0.015733200586846383,0.13185042744022502,0.0020744292223784946,0.28834566191061073,0.09611522063687024,ALLOWED_BY_ATLAS_TRACKLESS_95CL
