tan_beta,log10_tan_beta,domain,M2_center,mH2,M2_center_minus_mH2,M2_center_minus_mH2_over_mH2,lambda1_center,theory_ok_center,g_hH2H2_center,M2_edge_lo,M2_edge_hi,window_width_GeV2,g_hH2H2_edge_lo,g_hH2H2_edge_hi,max_abs_delta_g_over_g_in_window,edge_lo_bounded,edge_hi_bounded,ctau_mm_center,BRbb_center
10000.0,4.0,primary,22499.99955032857,22500.0,-0.00044967142821406014,-1.9985396809513785e-08,0.9999999960601045,True,63.59142884879793,22499.997617138222,22500.00015657425,0.002539436027291231,63.59144455171304,63.59142392438639,2.4693445942569534e-07,True,True,4.80690388559278613e-03,7.56737108053287977e-01
30000.0,4.477121254719663,primary,22499.999950036305,22500.0,-4.996369534637779e-05,-2.220608682061235e-09,1.0000000115945447,True,63.59142560208659,22499.99973523739,22500.000017396917,0.00028215952625032514,63.591427346854516,63.59142505492969,2.7437157004080594e-08,True,True,4.32621356197684034e-02,7.56737111124130224e-01
100000.0,5.0,primary,22499.999995503207,22500.0,-4.4967928261030465e-06,-1.9985745893791318e-10,0.9999997299960747,True,63.59142523288688,22499.999976171304,22500.000001565648,2.5394343538209796e-05,63.59142538991637,63.59142518364331,2.4693500622222577e-09,True,True,4.80690516725292449e-01,7.56737162341499681e-01
200000.0,5.301029995663981,primary,22499.999998875777,22500.0,-1.1242227628827095e-06,-4.9965456128120425e-11,0.9999991319567861,True,63.591425205662745,22499.999994042802,22500.000000391374,6.348571332637221e-06,63.59142524491972,63.59142519335137,6.173312586251015e-10,True,True,1.92276032095841587e+00,7.56736977836299340e-01
300000.0,5.477121254719663,primary,22499.999999500335,22500.0,-4.996654752176255e-07,-2.220735445411669e-11,1.0000009341820415,True,63.59142520075966,22499.99999735235,22500.00000017393,2.8215799829922616e-06,63.59142521820752,63.59142519528848,2.743744143265584e-10,True,True,4.32622152973311191e+00,7.56737485808578692e-01
400000.0,5.6020599913279625,primary,22499.999999718933,22500.0,-2.8106660465709865e-07,-1.2491849095871052e-11,0.9999955355889664,True,63.59142519915406,22499.99999851069,22500.000000097833,1.5871410141699016e-06,63.59142520896853,63.591425196076216,1.5433639021192985e-10,True,True,7.69104128628890660e+00,7.56736978065741028e-01
500000.0,5.698970004336019,primary,22499.999999820116,22500.0,-1.7988350009545684e-07,-7.994822226464748e-12,0.999993737496252,True,63.59142519850218,22499.999999046842,22500.00000006261,1.0157673386856914e-06,63.59142520478338,63.59142519653244,9.877428858548734e-11,True,True,1.20171947040645115e+01,7.56736008737777244e-01
600000.0,5.778151250383644,primary,22499.99999987507,22500.0,-1.2492819223552942e-07,-5.552364099356863e-12,0.9999991401363965,True,63.591425198226034,22499.99999933809,22500.00000004347,7.053786248434335e-07,63.591425202588084,63.59142519685793,6.859494441181939e-11,True,True,1.73050629677705388e+01,7.56739563553770922e-01
700000.0,5.845098040014257,primary,22499.999999908217,22500.0,-9.178256732411683e-08,-4.079225214405192e-12,0.9999865405901293,True,63.5914251981269,22499.999999513697,22500.00000003192,5.182228051126003e-07,63.59142520133173,63.591425197122476,5.039723430301032e-11,True,True,2.35542953493576768e+01,7.56741133068396632e-01
800000.0,5.903089986991944,primary,22499.99999992973,22500.0,-7.027119863778353e-08,-3.12316438390149e-12,0.9999931435302494,True,63.59142519812258,22499.999999627667,22500.00000002444,3.967725206166506e-07,63.59142520057594,63.591425197353374,3.8580075071267706e-11,True,True,3.07640533874455571e+01,7.56736239966804392e-01
1000000.0,6.0,primary,22499.999999955027,22500.0,-4.4972694013267756e-08,-1.998786400589678e-12,1.0000087499212595,True,63.59142519825707,22499.999999761712,22500.000000015643,2.5393092073500156e-07,63.59142519982743,63.59142519776492,2.469446603143159e-11,True,True,4.80701433838305476e+01,7.56741780065100400e-01
3000000.0,6.477121254719663,diagnostic_ceiling_probe,22499.999999994998,22500.0,-5.002220859751105e-09,-2.2232092710004912e-13,0.9997687575567713,True,63.59142520133594,22499.999999973523,22500.00000000173,2.8208887670189142e-08,63.59142520151045,63.591425201281254,2.744226841121568e-12,True,True,4.32513429230967688e+02,7.56686385412680518e-01
9000000.0,6.954242509439325,diagnostic_ceiling_probe,22499.999999999443,22500.0,-5.566107574850321e-10,-2.4738255888223647e-14,0.9950882350169935,True,63.59142521150909,22499.99999999706,22500.000000000175,3.1141098588705063e-09,63.59142521152853,63.59142521150363,3.0570865782196547e-13,True,True,3.90379173887974002e+03,7.57268197117920705e-01
