lambda6,construction_ok,numerical_ok,theory_ok_v1,positivity_ok,unitarity_ok,perturbativity_ok,rejection_stage,rejection_reason,lambda1_reconstructed,lambda6_reconstructed,g_hH2H2_GeV,delta_g_over_g_vs_benchmark,ctau_mm,br_bb
-10.0,1,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,unitarity,check_unitarity_false,4.50000099991712347e+06,-1.00000000000000000e+01,63.59142520075966,0.0,6.68658000180325261e-06,1.16960856129220606e-06
-3.0,1,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,unitarity,check_unitarity_false,1.35000100000729109e+06,-3.00000000000000000e+00,63.59142520075943,3.575539858171254e-15,7.43013491838416914e-05,1.29967029628818663e-05
-1.0,1,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,unitarity,check_unitarity_false,4.50001000033053104e+05,-1.00000000000000000e+00,63.59142520075943,3.575539858171254e-15,6.68804842361538109e-04,1.16986541587595376e-04
-0.3,1,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,unitarity,check_unitarity_false,1.35001000042069849e+05,-2.99999999999999989e-01,63.59142520075943,3.575539858171254e-15,7.42664312092037367e-03,1.29906339882674164e-03
-0.1,1,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,unitarity,check_unitarity_false,4.50010000446460836e+04,-1.00000000000000006e-01,63.591425200759204,7.151079716342507e-15,6.61149923224157166e-02,1.15647552305082300e-02
-0.01,1,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,unitarity,check_unitarity_false,4.50100004580537097e+03,-1.00000000000000002e-02,63.591425200759204,7.151079716342507e-15,2.67010734677255890e+00,4.67051977470125168e-01
-0.0001,1,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,unitarity,check_unitarity_false,4.60000459328939399e+01,-1.00000000000000005e-04,63.59142520075943,3.575539858171254e-15,4.32710052122599720e+00,7.56891237947205697e-01
-1e-06,1,1.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,accepted,none,1.45004593416915917e+00,-9.99999999999999955e-07,63.591425200759204,7.151079716342507e-15,4.32623309022836811e+00,7.56739507956555313e-01
-1e-08,1,1.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,accepted,none,1.00454593418191140e+00,-1.00000000000000002e-08,63.59142520075966,0.0,4.32622164676201937e+00,7.56737506279135053e-01
-1e-10,1,1.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,accepted,none,1.00009093418203898e+00,-1.00000000000000004e-10,63.59142520075898,1.072661957451376e-14,4.32622153205057369e+00,7.56737486213945876e-01
0.0,1,1.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,accepted,none,1.00004593418204024e+00,0.00000000000000000e+00,63.59142520075943,3.575539858171254e-15,4.32622153089184369e+00,7.56737486011262228e-01
1e-10,1,1.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,accepted,none,1.00000093418204150e+00,1.00000000000000004e-10,63.59142520075966,0.0,4.32622152973311191e+00,7.56737485808578692e-01
1e-08,1,1.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,accepted,none,9.95545934182169079e-01,1.00000000000000002e-08,63.591425200759204,7.151079716342507e-15,4.32622141501607427e+00,7.56737465742411408e-01
1e-06,1,1.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,accepted,none,5.50045934194921315e-01,9.99999999999999955e-07,63.59142520075943,3.575539858171254e-15,4.32620991563379853e+00,7.56735454284243714e-01
0.0001,1,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,positivity,check_positivity_false,-4.39999540645298595e+01,1.00000000000000005e-04,63.59142520075943,3.575539858171254e-15,4.32478336143527642e+00,7.56485923133298210e-01
0.01,1,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,positivity,check_positivity_false,-4.49899995393700738e+03,1.00000000000000002e-02,63.59142520075966,0.0,2.58465462839785109e+00,4.52104690371220141e-01
0.1,1,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,positivity,check_positivity_false,-4.49989999527777181e+04,1.00000000000000006e-01,63.59142520075943,3.575539858171254e-15,6.55781414074529528e-02,1.14708499117789735e-02
0.3,1,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,positivity,check_positivity_false,-1.34998999950201513e+05,2.99999999999999989e-01,63.59142520075943,3.575539858171254e-15,7.40629920469254230e-03,1.29550098181191865e-03
1.0,1,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,positivity,check_positivity_false,-4.49998999941184768e+05,1.00000000000000000e+00,63.591425200759204,7.151079716342507e-15,6.68251448981107307e-04,1.16889742680629450e-04
3.0,1,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,positivity,check_positivity_false,-1.34999899991542264e+06,3.00000000000000000e+00,63.591425200759204,7.151079716342507e-15,7.42808475040243978e-05,1.29931168336156690e-05
10.0,1,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,positivity,check_positivity_false,-4.49999899982525595e+06,1.00000000000000000e+01,63.591425200759204,7.151079716342507e-15,6.68602643915717025e-06,1.16951173277749533e-06
