point_id,ctau_mm,total_width_GeV,g_hH2H2_GeV,GHphiphi_GeV,BR_H2_to_bb,sigma_production_pb,sigma_production_error_pb,Trackless_Aeff,Trackless_Aeff_error,sigma_4b_fb,visible_sigma_fb,N_expected_139fb,N_expected_error,observed_S95,N_over_observed_S95,above_observed_S95,interpretation,production_status,efficiency_status
eff_ctau0p3_g40_br0p1,0.3,6.5775660133333333e-13,40,-40,0.1,9.1117154238163340e-05,0.0000000000000000e+00,0,0.0005,9.1117154238163365e-04,0.0000000000000000e+00,0.0000000000000000e+00,6.3326422195523533e-05,3.0,0.0000000000000000e+00,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,LOW_MC_STATISTICS
eff_ctau0p3_g40_br0p25,0.3,6.5775660133333333e-13,40,-40,0.25,9.1117154238163340e-05,0.0000000000000000e+00,0,0.0005,5.6948221398852089e-03,0.0000000000000000e+00,0.0000000000000000e+00,3.9579013872202202e-04,3.0,0.0000000000000000e+00,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,LOW_MC_STATISTICS
eff_ctau0p3_g40_br0p5,0.3,6.5775660133333333e-13,40,-40,0.5,9.1117154238163340e-05,0.0000000000000000e+00,0,0.0005,2.2779288559540836e-02,0.0000000000000000e+00,0.0000000000000000e+00,1.5831605548880881e-03,3.0,0.0000000000000000e+00,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,LOW_MC_STATISTICS
eff_ctau0p3_g40_br0p7567,0.3,6.5775660133333333e-13,40,-40,0.7567374858085787,9.1117154238163340e-05,0.0000000000000000e+00,0,0.0005,5.2178386205496426e-02,0.0000000000000000e+00,0.0000000000000000e+00,3.6263978412820019e-03,3.0,0.0000000000000000e+00,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,LOW_MC_STATISTICS
eff_ctau0p3_g40_br1,0.3,6.5775660133333333e-13,40,-40,1,9.1117154238163340e-05,0.0000000000000000e+00,0,0.0005,9.1117154238163342e-02,0.0000000000000000e+00,0.0000000000000000e+00,6.3326422195523523e-03,3.0,0.0000000000000000e+00,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,LOW_MC_STATISTICS
eff_ctau1_g40_br0p1,1,1.9732698040000000e-13,40,-40,0.1,9.1117154238163340e-05,0.0000000000000000e+00,0.003951574,0.00124959741827022,9.1117154238163365e-04,3.6005617764151619e-06,5.0047808692170752e-04,1.5826506736763235e-04,3.0,1.6682602897390251e-04,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,VALIDATED
eff_ctau1_g40_br0p25,1,1.9732698040000000e-13,40,-40,0.25,9.1117154238163340e-05,0.0000000000000000e+00,0.003951574,0.00124959741827022,5.6948221398852089e-03,2.2503511102594757e-05,3.1279880432606715e-03,9.8915667104770193e-04,3.0,1.0426626810868904e-03,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,VALIDATED
eff_ctau1_g40_br0p5,1,1.9732698040000000e-13,40,-40,0.5,9.1117154238163340e-05,0.0000000000000000e+00,0.003951574,0.00124959741827022,2.2779288559540836e-02,9.0014044410379029e-05,1.2511952173042686e-02,3.9566266841908077e-03,3.0,4.1706507243475617e-03,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,VALIDATED
eff_ctau1_g40_br0p7567,1,1.9732698040000000e-13,40,-40,0.7567374858085787,9.1117154238163340e-05,0.0000000000000000e+00,0.003951574,0.00124959741827022,5.2178386205496426e-02,2.0618675429159833e-04,2.8659958846532167e-02,9.0630747601733747e-03,3.0,9.5533196155107216e-03,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,VALIDATED
eff_ctau1_g40_br1,1,1.9732698040000000e-13,40,-40,1,9.1117154238163340e-05,0.0000000000000000e+00,0.003951574,0.00124959741827022,9.1117154238163342e-02,3.6005617764151612e-04,5.0047808692170744e-02,1.5826506736763231e-02,3.0,1.6682602897390247e-02,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,VALIDATED
eff_ctau3_g40_br0p1,3,6.5775660133333331e-14,40,-40,0.1,9.1117154238163340e-05,0.0000000000000000e+00,0.013341595,0.002255141155822941,9.1117154238163365e-04,1.2156481693981091e-05,1.6897509554633717e-03,2.8562004188828895e-04,3.0,5.6325031848779056e-04,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,VALIDATED
eff_ctau3_g40_br0p25,3,6.5775660133333331e-14,40,-40,0.25,9.1117154238163340e-05,0.0000000000000000e+00,0.013341595,0.002255141155822941,5.6948221398852089e-03,7.5978010587381798e-05,1.0560943471646069e-02,1.7851252618018053e-03,3.0,3.5203144905486899e-03,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,VALIDATED
eff_ctau3_g40_br0p5,3,6.5775660133333331e-14,40,-40,0.5,9.1117154238163340e-05,0.0000000000000000e+00,0.013341595,0.002255141155822941,2.2779288559540836e-02,3.0391204234952719e-04,4.2243773886584277e-02,7.1405010472072213e-03,3.0,1.4081257962194759e-02,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,VALIDATED
eff_ctau3_g40_br0p7567,3,6.5775660133333331e-14,40,-40,0.7567374858085787,9.1117154238163340e-05,0.0000000000000000e+00,0.013341595,0.002255141155822941,5.2178386205496426e-02,6.9614289650732006e-04,9.6763862614517485e-02,1.6356078038525020e-02,3.0,3.2254620871505831e-02,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,VALIDATED
eff_ctau3_g40_br1,3,6.5775660133333331e-14,40,-40,1,9.1117154238163340e-05,0.0000000000000000e+00,0.013341595,0.002255141155822941,9.1117154238163342e-02,1.2156481693981088e-03,1.6897509554633711e-01,2.8562004188828885e-02,3.0,5.6325031848779038e-02,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,VALIDATED
eff_ctau4p326_g40_br0p1,4.326221529733112,4.5611852986218501e-14,40,-40,0.1,9.1117154238163340e-05,0.0000000000000000e+00,0.01573386,0.002487741699310843,9.1117154238163365e-04,1.4336245483816690e-05,1.9927381222505200e-03,3.1507956232793526e-04,3.0,6.6424604075017337e-04,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,VALIDATED
eff_ctau4p326_g40_br0p25,4.326221529733112,4.5611852986218501e-14,40,-40,0.25,9.1117154238163340e-05,0.0000000000000000e+00,0.01573386,0.002487741699310843,5.6948221398852089e-03,8.9601534273854282e-05,1.2454613264065745e-02,1.9692472645495948e-03,3.0,4.1515377546885819e-03,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,VALIDATED
eff_ctau4p326_g40_br0p5,4.326221529733112,4.5611852986218501e-14,40,-40,0.5,9.1117154238163340e-05,0.0000000000000000e+00,0.01573386,0.002487741699310843,2.2779288559540836e-02,3.5840613709541713e-04,4.9818453056262979e-02,7.8769890581983793e-03,3.0,1.6606151018754328e-02,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,VALIDATED
eff_ctau4p326_g40_br0p7567,4.326221529733112,4.5611852986218501e-14,40,-40,0.7567374858085787,9.1117154238163340e-05,0.0000000000000000e+00,0.01573386,0.002487741699310843,5.2178386205496426e-02,8.2096742358321194e-04,1.1411447187806646e-01,1.8043082256096122e-02,3.0,3.8038157292688821e-02,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,VALIDATED
eff_ctau4p326_g40_br1,4.326221529733112,4.5611852986218501e-14,40,-40,1,9.1117154238163340e-05,0.0000000000000000e+00,0.01573386,0.002487741699310843,9.1117154238163342e-02,1.4336245483816685e-03,1.9927381222505192e-01,3.1507956232793517e-02,3.0,6.6424604075017310e-02,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,VALIDATED
eff_ctau10_g40_br0p1,10,1.9732698040000002e-14,40,-40,0.1,9.1117154238163340e-05,0.0000000000000000e+00,0.018625475,0.002716804752519248,9.1117154238163365e-04,1.6971002783340558e-05,2.3589693868843378e-03,3.4409104956167755e-04,3.0,7.8632312896144592e-04,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,VALIDATED
eff_ctau10_g40_br0p25,10,1.9732698040000002e-14,40,-40,0.25,9.1117154238163340e-05,0.0000000000000000e+00,0.018625475,0.002716804752519248,5.6948221398852089e-03,1.0606876739587845e-04,1.4743558668027104e-02,2.1505690597604836e-03,3.0,4.9145195560090348e-03,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,VALIDATED
eff_ctau10_g40_br0p5,10,1.9732698040000002e-14,40,-40,0.5,9.1117154238163340e-05,0.0000000000000000e+00,0.018625475,0.002716804752519248,2.2779288559540836e-02,4.2427506958351381e-04,5.8974234672108418e-02,8.6022762390419345e-03,3.0,1.9658078224036139e-02,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,VALIDATED
eff_ctau10_g40_br0p7567,10,1.9732698040000002e-14,40,-40,0.7567374858085787,9.1117154238163340e-05,0.0000000000000000e+00,0.018625475,0.002716804752519248,5.2178386205496426e-02,9.7184722781081846e-04,1.3508676466570377e-01,1.9704429779440966e-02,3.0,4.5028921555234587e-02,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,VALIDATED
eff_ctau10_g40_br1,10,1.9732698040000002e-14,40,-40,1,9.1117154238163340e-05,0.0000000000000000e+00,0.018625475,0.002716804752519248,9.1117154238163342e-02,1.6971002783340552e-03,2.3589693868843367e-01,3.4409104956167738e-02,3.0,7.8632312896144557e-02,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,VALIDATED
eff_ctau30_g40_br0p1,30,6.5775660133333334e-15,40,-40,0.1,9.1117154238163340e-05,0.0000000000000000e+00,0.01856252,0.002679268979709453,9.1117154238163365e-04,1.6913639978889923e-05,2.3509959570656991e-03,3.3933703716890087e-04,3.0,7.8366531902189973e-04,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,VALIDATED
eff_ctau30_g40_br0p25,30,6.5775660133333334e-15,40,-40,0.25,9.1117154238163340e-05,0.0000000000000000e+00,0.01856252,0.002679268979709453,5.6948221398852089e-03,1.0571024986806198e-04,1.4693724731660616e-02,2.1208564823056299e-03,3.0,4.8979082438868719e-03,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,VALIDATED
eff_ctau30_g40_br0p5,30,6.5775660133333334e-15,40,-40,0.5,9.1117154238163340e-05,0.0000000000000000e+00,0.01856252,0.002679268979709453,2.2779288559540836e-02,4.2284099947224792e-04,5.8774898926642463e-02,8.4834259292225194e-03,3.0,1.9591632975547488e-02,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,VALIDATED
