point_id,ctau_mm,total_width_GeV,g_hH2H2_GeV,GHphiphi_GeV,BR_H2_to_bb,sigma_production_pb,sigma_production_error_pb,Trackless_Aeff,Trackless_Aeff_error,sigma_4b_fb,visible_sigma_fb,N_expected_139fb,N_expected_error,observed_S95,N_over_observed_S95,above_observed_S95,interpretation,production_status,efficiency_status,production_evaluation_mode
eff_ctau0p3_g40_br0p1,0.3,6.5775660133333333e-13,40,-40,0.1,9.1290000000000002e-05,2.2249999999999999e-07,0,0.0005,9.1290000000000013e-04,0.0000000000000000e+00,0.0000000000000000e+00,6.3446550000000000e-05,3.0,0.0000000000000000e+00,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,UPPER_LIMIT_ONLY,madgraph
eff_ctau0p3_g40_br0p25,0.3,6.5775660133333333e-13,40,-40,0.25,9.1290000000000002e-05,2.2249999999999999e-07,0,0.0005,5.7056249999999998e-03,0.0000000000000000e+00,0.0000000000000000e+00,3.9654093749999996e-04,3.0,0.0000000000000000e+00,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,UPPER_LIMIT_ONLY,madgraph
eff_ctau0p3_g40_br0p5,0.3,6.5775660133333333e-13,40,-40,0.5,9.1290000000000002e-05,2.2249999999999999e-07,0,0.0005,2.2822499999999999e-02,0.0000000000000000e+00,0.0000000000000000e+00,1.5861637499999998e-03,3.0,0.0000000000000000e+00,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,UPPER_LIMIT_ONLY,madgraph
eff_ctau0p3_g40_br0p7567,0.3,6.5775660133333333e-13,40,-40,0.7567374858085787,9.1290000000000002e-05,2.2249999999999999e-07,0,0.0005,5.2277366611441965e-02,0.0000000000000000e+00,0.0000000000000000e+00,3.6332769794952167e-03,3.0,0.0000000000000000e+00,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,UPPER_LIMIT_ONLY,madgraph
eff_ctau0p3_g40_br1,0.3,6.5775660133333333e-13,40,-40,1,9.1290000000000002e-05,2.2249999999999999e-07,0,0.0005,9.1289999999999996e-02,0.0000000000000000e+00,0.0000000000000000e+00,6.3446549999999994e-03,3.0,0.0000000000000000e+00,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,UPPER_LIMIT_ONLY,madgraph
eff_ctau1_g40_br0p1,1,1.9732698040000000e-13,40,-40,0.1,9.1290000000000002e-05,2.2249999999999999e-07,0.003951574,0.00124959741827022,9.1290000000000013e-04,3.6073919046000007e-06,5.0142747473940006e-04,1.5856529015630488e-04,3.0,1.6714249157980001e-04,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,VALIDATED,madgraph
eff_ctau1_g40_br0p25,1,1.9732698040000000e-13,40,-40,0.25,9.1290000000000002e-05,2.2249999999999999e-07,0.003951574,0.00124959741827022,5.7056249999999998e-03,2.2546199403749999e-05,3.1339217171212500e-03,9.9103306347690526e-04,3.0,1.0446405723737501e-03,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,VALIDATED,madgraph
eff_ctau1_g40_br0p5,1,1.9732698040000000e-13,40,-40,0.5,9.1290000000000002e-05,2.2249999999999999e-07,0.003951574,0.00124959741827022,2.2822499999999999e-02,9.0184797614999997e-05,1.2535686868485000e-02,3.9641322539076210e-03,3.0,4.1785622894950003e-03,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,VALIDATED,madgraph
eff_ctau1_g40_br0p7567,1,1.9732698040000000e-13,40,-40,0.7567374858085787,9.1290000000000002e-05,2.2249999999999999e-07,0.003951574,0.00124959741827022,5.2277366611441965e-02,2.0657788269024219e-04,2.8714325693943665e-02,9.0802670668756920e-03,3.0,9.5714418979812223e-03,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,VALIDATED,madgraph
eff_ctau1_g40_br1,1,1.9732698040000000e-13,40,-40,1,9.1290000000000002e-05,2.2249999999999999e-07,0.003951574,0.00124959741827022,9.1289999999999996e-02,3.6073919045999999e-04,5.0142747473940000e-02,1.5856529015630484e-02,3.0,1.6714249157980001e-02,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,VALIDATED,madgraph
eff_ctau3_g40_br0p1,3,6.5775660133333331e-14,40,-40,0.1,9.1290000000000002e-05,2.2249999999999999e-07,0.013341595,0.002255141155822941,9.1290000000000013e-04,1.2179542075500001e-05,1.6929563484945002e-03,2.8616185219995606e-04,3.0,5.6431878283150010e-04,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,VALIDATED,madgraph
eff_ctau3_g40_br0p25,3,6.5775660133333331e-14,40,-40,0.25,9.1290000000000002e-05,2.2249999999999999e-07,0.013341595,0.002255141155822941,5.7056249999999998e-03,7.6122137971874987e-05,1.0580977178090624e-02,1.7885115762497248e-03,3.0,3.5269923926968746e-03,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,VALIDATED,madgraph
eff_ctau3_g40_br0p5,3,6.5775660133333331e-14,40,-40,0.5,9.1290000000000002e-05,2.2249999999999999e-07,0.013341595,0.002255141155822941,2.2822499999999999e-02,3.0448855188749995e-04,4.2323908712362496e-02,7.1540463049988992e-03,3.0,1.4107969570787499e-02,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,VALIDATED,madgraph
eff_ctau3_g40_br0p7567,3,6.5775660133333331e-14,40,-40,0.7567374858085787,9.1290000000000002e-05,2.2249999999999999e-07,0.013341595,0.002255141155822941,5.2277366611441965e-02,6.9746345299638102e-04,9.6947419966496959e-02,1.6387104893927449e-02,3.0,3.2315806655498984e-02,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,VALIDATED,madgraph
eff_ctau3_g40_br1,3,6.5775660133333331e-14,40,-40,1,9.1290000000000002e-05,2.2249999999999999e-07,0.013341595,0.002255141155822941,9.1289999999999996e-02,1.2179542075499998e-03,1.6929563484944998e-01,2.8616185219995597e-02,3.0,5.6431878283149994e-02,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,VALIDATED,madgraph
eff_ctau4p326_g40_br0p1,4.326221529733112,4.5611852986218501e-14,40,-40,0.1,9.1290000000000002e-05,2.2249999999999999e-07,0.01573386,0.002487741699310843,9.1290000000000013e-04,1.4363440794000001e-05,1.9965182703660001e-03,3.1567725622482076e-04,3.0,6.6550609012199999e-04,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,VALIDATED,madgraph
eff_ctau4p326_g40_br0p25,4.326221529733112,4.5611852986218501e-14,40,-40,0.25,9.1290000000000002e-05,2.2249999999999999e-07,0.01573386,0.002487741699310843,5.7056249999999998e-03,8.9771504962499988e-05,1.2478239189787499e-02,1.9729828514051294e-03,3.0,4.1594130632624992e-03,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,VALIDATED,madgraph
