ctau_mm,total_width_GeV,generated_events,selected_trackless_events,Trackless_Aeff,Trackless_Aeff_stat_uncertainty,Trackless_Aeff_95CL_limit,selected_highpt_events,HighPt_Aeff,Trackless_status,HighPt_status,provenance_path
0.3,6.5775660133333333e-13,2000,0,0,0.0005,0.001497866136776995,0,0,UPPER_LIMIT_ONLY,UPPER_LIMIT_ONLY,results/r10_effective_ctau_g_br_scan/logs/ctau_0p3_summary.json
1,1.9732698040000000e-13,2000,10,0.003951574,0.00124959741827022,0.006400784939809633,1,0,VALIDATED,LOW_MC_STATISTICS,results/r10_effective_ctau_g_br_scan/logs/ctau_1_summary.json
3,6.5775660133333331e-14,2000,35,0.013341595,0.002255141155822941,0.01776167166541297,4,0.0014851435,VALIDATED,LOW_MC_STATISTICS,results/r10_effective_ctau_g_br_scan/logs/ctau_3_summary.json
4.326221529733112,4.5611852986218501e-14,2000,40,0.01573386,0.002487741699310843,0.02060983373064925,4,0.0014866595,VALIDATED,LOW_MC_STATISTICS,results/r10_effective_ctau_g_br_scan/logs/ctau_4p326221529733112_summary.json
10,1.9732698040000002e-14,2000,47,0.018625475,0.002716804752519248,0.02395041231493773,5,0.001992123,VALIDATED,LOW_MC_STATISTICS,results/r10_effective_ctau_g_br_scan/logs/ctau_10_summary.json
30,6.5775660133333334e-15,2000,48,0.01856252,0.002679268979709453,0.02381388720023053,5,0.001973908,VALIDATED,LOW_MC_STATISTICS,results/r10_effective_ctau_g_br_scan/logs/ctau_30_summary.json
100,1.9732698039999999e-15,2000,47,0.01425306,0.002079022475718981,0.0183279440524092,5,0.0017248855,VALIDATED,LOW_MC_STATISTICS,results/r10_effective_ctau_g_br_scan/logs/ctau_100_summary.json
200,9.8663490199999997e-16,2000,40,0.009507182499999999,0.001503217541544688,0.01245348888142759,4,0.0015914925,VALIDATED,LOW_MC_STATISTICS,results/r10_effective_ctau_g_br_scan/logs/ctau_200_summary.json
300,6.5775660133333338e-16,2000,35,0.006872078500000001,0.001161593276620673,0.00914880132217652,4,0.0010178137,VALIDATED,LOW_MC_STATISTICS,results/r10_effective_ctau_g_br_scan/logs/ctau_300_summary.json
500,3.9465396080000001e-16,2000,24,0.003869341,0.0007898259242358671,0.005417399811502299,2,0.000285423065,VALIDATED,LOW_MC_STATISTICS,results/r10_effective_ctau_g_br_scan/logs/ctau_500_summary.json
700,2.8189568628571429e-16,2000,17,0.003478149,0.0008435750416844964,0.005131556081701613,1,0.0002612367,VALIDATED,LOW_MC_STATISTICS,results/r10_effective_ctau_g_br_scan/logs/ctau_700_summary.json
1000,1.9732698040000000e-16,2000,15,0.0024641585,0.0006362429888610299,0.003711194758167618,1,0.0002702658,VALIDATED,LOW_MC_STATISTICS,results/r10_effective_ctau_g_br_scan/logs/ctau_1000_summary.json
