pair,g1_GeV,g2_GeV,observable,max_abs_diff,ks_stat,ks_critical_95,ks_pass_95,chi2_stat,g1_underflow_fraction,g1_overflow_fraction,g2_underflow_fraction,g2_overflow_fraction
g40_vs_g63p591425,40,63.59142520075966,m_H2H2,1.9940387541766219e-02,5.2737370851493548e-02,6.1019694007837723e-02,True,1.6740907988598295e+01,0.0000000000000000e+00,6.0000000000000001e-03,0.0000000000000000e+00,7.0000000000000001e-03
g40_vs_g63p591425,40,63.59142520075966,pT_H2H2,0.0000000000000000e+00,0.0000000000000000e+00,6.0821048987994286e-02,True,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
g40_vs_g63p591425,40,63.59142520075966,pT_H2_leading,3.2207220843171687e-02,5.9545720570725047e-02,6.0958367635720108e-02,True,2.4194140981171088e+01,0.0000000000000000e+00,4.0000000000000001e-03,0.0000000000000000e+00,5.0000000000000001e-03
g40_vs_g63p591425,40,63.59142520075966,pT_H2_subleading,3.1020472997612861e-02,5.7829338738509040e-02,6.2549827334294775e-02,True,2.2972060392951622e+01,0.0000000000000000e+00,5.0999999999999997e-02,0.0000000000000000e+00,5.8000000000000003e-02
g40_vs_g63p591425,40,63.59142520075966,y_H2_leading,1.6022885511896831e-02,1.8331617929002397e-02,6.0958367635720108e-02,True,8.8806528976226851e+00,3.0000000000000001e-03,1.0000000000000000e-03,2.0000000000000000e-03,3.0000000000000001e-03
g40_vs_g63p591425,40,63.59142520075966,y_H2_subleading,2.9450126791152526e-02,2.7884953712129512e-02,6.0989069362753799e-02,True,2.2209305955296340e+01,3.0000000000000001e-03,1.0000000000000000e-03,4.0000000000000001e-03,3.0000000000000001e-03
g40_vs_g63p591425,40,63.59142520075966,delta_phi_H2H2,0.0000000000000000e+00,0.0000000000000000e+00,1.7711416847359418e-01,True,1.5254237288135594e-01,0.0000000000000000e+00,8.7900000000000000e-01,0.0000000000000000e+00,8.8500000000000001e-01
g40_vs_g63p591425,40,63.59142520075966,delta_R_H2H2,3.0999999999999917e-02,3.0999999999999917e-02,6.0821048987994286e-02,True,4.7528266578603890e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
g63p591425_vs_g150,63.59142520075966,150,m_H2H2,2.4968720436998382e-02,2.5356281851750095e-02,6.1081267976097413e-02,True,1.6104772837666307e+01,0.0000000000000000e+00,7.0000000000000001e-03,0.0000000000000000e+00,1.0000000000000000e-02
g63p591425_vs_g150,63.59142520075966,150,pT_H2H2,0.0000000000000000e+00,0.0000000000000000e+00,6.0821048987994286e-02,True,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
