point_id,g_hH2H2_GeV,GHphiphi_GeV,run_name,seed,sigma_pb,sigma_error_pb,banner_sha256,lhe_sha256,status
mg_r12_g40_run_01,40.0,-40.0,run_01,101,9.1549e-05,4.8997e-07,c9456432c9797a1a786c4cabbcccccd024cc9ff813b89cfdb59476430cd5e156,4a8cebb003ab0849a8a0fbebe6b06e4aaf991ee93d3da8a2ff5f17c1426366b7,VALID
mg_r12_g40_run_02,40.0,-40.0,run_02,107,9.0547e-05,9.9153e-07,2d06aa9e502de12503d603db679c1b7991935ebae1152ca32bd6f6c227733fd2,b2c55dd5e081839c79ca3702452828c4a1b754e6d25637b16e9a9824ac75d8b0,VALID
mg_r12_g63p591425_run_01,63.59142520075966,-63.59142520075966,run_01,101,0.00023138,1.2383e-06,afbe2e70170c9358b9a06f22e163bf008c688df6aa05bce4d829c679377d9375,2325ed91227981014e1ad288ae0f5927d6d5c4b028947687177bad67c4fb1bca,VALID
mg_r12_g63p591425_run_02,63.59142520075966,-63.59142520075966,run_02,107,0.00022885,2.506e-06,036cfdcf84a61670023a5224f331f349c42f4ea99ca96a4303284fd733ff0edf,bdf006bbef586f861318defb8d4e3a14c7938e6cb0e27760570e27bdf9d10349,VALID
mg_r12_g100_run_01,100.0,-100.0,run_01,101,0.00057218,3.0623e-06,3602b26b05878eff72681314f8e3384e84ae86707357878265eaf66749c85fee,9e08a7ce46daa1d84119d9b44518d734d2ea455c2a38c283bbc10c691a612adc,VALID
mg_r12_g100_run_02,100.0,-100.0,run_02,107,0.00056592,6.197e-06,18b166d29a5e1d4be8734c2cb47dda83e677821b5d481db0b8adb70fdfefa31d,1c85974147722fa3d4f4b3545ce1a3b7743fe593de3bccc6e4d14e567f37422d,VALID
mg_r12_g150_run_01,150.0,-150.0,run_01,101,0.0012874,6.8901e-06,edecb8b547b461d498c6a1e7b07b6eea93aeacb8a7b8f417d55f55149941d8bc,89b4a6d17384628504a6108fb9552713a93bf4bffd253ca005b609c175b3c54a,VALID
mg_r12_g150_run_02,150.0,-150.0,run_02,107,0.0012733,1.3943e-05,a32cbef28b4717fbae444e71a6d76d536aabde7c65eea4a38cd6ef1c61e0bf59,0178786f1a19772a945cdb240bc6dfeaf2551812a9ab89367b20a57f592ee517,VALID
mg_r12_g205p092725_run_01,205.09272542237372,-205.09272542237372,run_01,101,0.0024068,1.2881e-05,ea0749b6560227730875f46ef4e2f71b786809b94d47d36cdb15f962a405184d,4602a299dff27ac5ce1be9cf46f92db57b05e522b7f8586a4bf2bc3abc9f1642,VALID
mg_r12_g205p092725_run_02,205.09272542237372,-205.09272542237372,run_02,107,0.0023804,2.6067e-05,9a6b6d02405d337c7b8c44908753e791562d1f8308f00a378ff19bb6e15f6615,026021f07f1d10c0152f5dc8d0f6b4e4bd62ce07bac350c53d3794f6a57434e4,VALID
mg_r12_g300_run_01,300.0,-300.0,run_01,101,0.0051497,2.7561e-05,a7d17732ddc6eef0af1c292ada527bd7c4f869a562db0860f4e47fc47cb639c9,9fc608e3f17cadfc740630299204355fa6e639b75112567f36b6a26f65112c11,VALID
mg_r12_g300_run_02,300.0,-300.0,run_02,107,0.0050932,5.5773e-05,5791ec7fafd790425f0b4776a1f8248985c835c52d9b714ead2e6d4cbeaf7c78,58f90aa397fb7de1ad029067646786d0cdec462a8af28c15ae0f9f35ded7ded7,VALID
